Date,Symbol,Company,Open,High,Low,Close,Volume,AI_Sentiment
2022-01-01,NVDA,NVIDIA,195.65,199.08,188.8,194.79,28097190,30
2022-01-02,NVDA,NVIDIA,202.1,207.77,201.25,201.76,13476379,37
2022-01-03,NVDA,NVIDIA,206.24,213.03,196.16,204.08,9226178,41
2022-01-05,NVDA,NVIDIA,202.11,206.99,198.62,202.85,29337695,41
2022-01-06,NVDA,NVIDIA,207.94,221.97,203.73,212.03,14496233,70
2022-01-08,NVDA,NVIDIA,215.19,223.36,212.35,213.87,26999728,31
2022-01-09,NVDA,NVIDIA,220.91,225.08,211.77,220.6,25500472,60
2022-01-10,NVDA,NVIDIA,230.52,237.34,219.4,227.02,32887480,55
2022-01-12,NVDA,NVIDIA,231.97,230.88,226.54,227.95,45301116,34
2022-01-13,NVDA,NVIDIA,222.57,232.26,216.22,223.74,33482253,33
2022-01-15,NVDA,NVIDIA,236.46,241.74,226.97,234.76,35510036,42
2022-01-16,NVDA,NVIDIA,247.79,248.75,245.98,246.23,35766657,38
2022-01-17,NVDA,NVIDIA,239.41,250.57,235.08,240.37,35096834,37
2022-01-19,NVDA,NVIDIA,225.26,231.63,223.15,229.14,3791237,34
2022-01-20,NVDA,NVIDIA,227.35,232.58,214.25,224.31,17107084,74
2022-01-22,NVDA,NVIDIA,226.9,227.37,215.73,225.37,41951104,89
2022-01-23,NVDA,NVIDIA,217.45,228.33,214.27,220.73,35807951,59
2022-01-24,NVDA,NVIDIA,227.8,236.36,220.28,228.6,20659836,83
2022-01-26,NVDA,NVIDIA,237.39,239.09,232.52,236.84,43998805,84
2022-01-27,NVDA,NVIDIA,238.23,245.23,229.49,237.34,5086595,63
2022-01-29,NVDA,NVIDIA,233.31,240.98,232.74,236.67,45920299,61
2022-01-30,NVDA,NVIDIA,233.77,240.81,223.4,234.47,14590836,80
2022-01-31,NVDA,NVIDIA,223.38,232.78,218.52,223.44,32597322,42
2022-02-02,NVDA,NVIDIA,229.35,233.0,230.18,231.68,9483427,90
2022-02-03,NVDA,NVIDIA,237.98,246.53,238.3,242.68,12084385,44
2022-02-05,NVDA,NVIDIA,232.64,242.56,230.51,236.33,31669332,47
2022-02-06,NVDA,NVIDIA,234.75,233.97,225.21,232.18,22700046,49
2022-02-07,NVDA,NVIDIA,236.44,241.9,235.22,236.22,40629582,55
2022-02-09,NVDA,NVIDIA,236.22,237.75,228.12,233.05,44352612,77
2022-02-10,NVDA,NVIDIA,230.07,240.53,229.76,233.47,23404392,50
2022-02-12,NVDA,NVIDIA,230.84,242.7,230.72,235.43,7493477,31
2022-02-13,NVDA,NVIDIA,240.95,252.46,245.1,245.53,48350210,57
2022-02-14,NVDA,NVIDIA,257.38,270.1,255.51,257.68,46173187,79
2022-02-16,NVDA,NVIDIA,256.63,258.14,250.2,251.8,11505699,58
2022-02-17,NVDA,NVIDIA,264.46,273.48,256.45,262.51,4989803,75
2022-02-19,NVDA,NVIDIA,269.0,278.31,258.54,265.62,14772973,34
2022-02-20,NVDA,NVIDIA,278.44,284.25,271.24,274.19,30601035,87
2022-02-21,NVDA,NVIDIA,272.88,288.44,271.56,277.97,42832928,86
2022-02-23,NVDA,NVIDIA,267.1,275.67,263.14,271.97,41891193,76
2022-02-24,NVDA,NVIDIA,281.04,284.32,271.62,280.65,45901504,64
2022-02-26,NVDA,NVIDIA,286.57,287.58,276.53,285.8,7489584,87
2022-02-27,NVDA,NVIDIA,275.23,289.7,265.71,279.64,34952685,86
2022-02-28,NVDA,NVIDIA,273.06,276.73,266.55,274.69,38146674,88
2022-03-02,NVDA,NVIDIA,269.81,269.24,259.36,268.81,46489028,66
2022-03-03,NVDA,NVIDIA,258.43,269.33,249.88,257.0,3116847,88
2022-03-05,NVDA,NVIDIA,249.48,253.94,250.9,253.43,10288752,87
2022-03-06,NVDA,NVIDIA,240.51,249.24,232.07,243.74,7792248,51
2022-03-07,NVDA,NVIDIA,249.43,259.29,250.11,251.35,29112194,38
2022-03-09,NVDA,NVIDIA,251.58,263.33,253.82,256.51,38458429,36
2022-03-10,NVDA,NVIDIA,262.02,268.46,259.74,265.9,21971649,78
2022-03-12,NVDA,NVIDIA,263.44,269.84,255.95,260.84,18708829,38
2022-03-13,NVDA,NVIDIA,270.22,279.73,261.98,269.71,14085074,46
2022-03-14,NVDA,NVIDIA,263.9,265.34,255.05,259.79,2902075,50
2022-03-16,NVDA,NVIDIA,266.04,270.47,262.03,264.45,46285702,38
2022-03-17,NVDA,NVIDIA,274.92,286.39,271.53,276.04,21238933,58
2022-03-19,NVDA,NVIDIA,273.22,277.34,264.01,275.8,26858239,42
2022-03-20,NVDA,NVIDIA,286.23,299.82,284.54,285.68,7963971,67
2022-03-21,NVDA,NVIDIA,276.75,287.46,264.23,274.9,22526686,43
2022-03-23,NVDA,NVIDIA,269.35,279.29,262.96,268.78,36789723,58
2022-03-24,NVDA,NVIDIA,256.06,256.29,248.45,256.14,47272842,36
2022-03-26,NVDA,NVIDIA,248.6,254.51,245.74,251.4,33486030,79
2022-03-27,NVDA,NVIDIA,242.84,248.2,231.14,239.28,28233879,55
2022-03-28,NVDA,NVIDIA,241.55,254.35,235.63,244.03,15631639,82
2022-03-30,NVDA,NVIDIA,257.95,264.19,251.08,254.21,19907055,71
2022-03-31,NVDA,NVIDIA,267.08,267.51,255.94,262.23,42453739,46
2022-04-02,NVDA,NVIDIA,265.51,269.92,259.54,268.12,23202742,86
2022-04-03,NVDA,NVIDIA,265.2,280.36,263.91,270.16,11254841,64
2022-04-04,NVDA,NVIDIA,279.04,286.9,269.6,278.44,36796599,77
2022-04-06,NVDA,NVIDIA,267.17,267.59,252.76,264.8,5562562,39
2022-04-07,NVDA,NVIDIA,257.94,265.02,256.8,257.24,27346156,48
2022-04-09,NVDA,NVIDIA,258.48,272.77,250.58,261.3,21495440,87
2022-04-10,NVDA,NVIDIA,268.87,274.45,262.24,267.68,46038615,71
2022-04-11,NVDA,NVIDIA,256.8,258.32,252.89,256.03,6828987,75
2022-04-13,NVDA,NVIDIA,262.05,271.01,255.35,261.03,27955201,43
2022-04-14,NVDA,NVIDIA,259.46,265.45,258.21,259.32,23433629,36
2022-04-16,NVDA,NVIDIA,264.74,264.29,250.36,261.55,44650631,47
2022-04-17,NVDA,NVIDIA,251.21,256.3,246.54,256.12,32480167,85
2022-04-18,NVDA,NVIDIA,248.54,263.03,240.31,251.46,5577029,56
2022-04-20,NVDA,NVIDIA,246.81,250.09,246.76,247.28,49887336,45
2022-04-21,NVDA,NVIDIA,248.48,261.17,244.59,249.97,15762050,64
2022-04-23,NVDA,NVIDIA,259.91,269.45,254.12,258.73,39961696,34
2022-04-24,NVDA,NVIDIA,252.86,253.23,243.87,252.32,12596598,59
2022-04-25,NVDA,NVIDIA,249.49,249.32,237.13,245.85,22599057,73
2022-04-27,NVDA,NVIDIA,241.74,249.16,232.02,240.53,11116170,80
2022-04-28,NVDA,NVIDIA,245.99,259.14,237.62,248.88,26533249,37
2022-04-30,NVDA,NVIDIA,249.97,261.32,253.79,254.27,46760373,31
2022-05-01,NVDA,NVIDIA,248.49,257.62,250.74,250.77,34909529,89
2022-05-02,NVDA,NVIDIA,263.86,263.89,251.7,259.16,23103451,71
2022-05-04,NVDA,NVIDIA,270.01,272.55,258.25,267.06,44606098,72
2022-05-05,NVDA,NVIDIA,270.03,270.27,265.85,268.55,20271744,30
2022-05-07,NVDA,NVIDIA,274.92,284.29,261.43,273.55,17577996,89
2022-05-08,NVDA,NVIDIA,272.04,282.69,266.86,274.86,10830455,84
2022-05-09,NVDA,NVIDIA,262.02,264.0,260.81,262.65,49666293,51
2022-05-11,NVDA,NVIDIA,263.16,273.45,264.43,267.39,22915381,65
2022-05-12,NVDA,NVIDIA,273.52,284.91,270.13,274.34,34935109,84
2022-05-14,NVDA,NVIDIA,283.84,287.79,270.8,284.25,37826288,68
2022-05-15,NVDA,NVIDIA,284.03,286.61,284.75,285.75,38094148,74
2022-05-16,NVDA,NVIDIA,273.65,285.02,263.49,271.9,22241020,42
2022-05-18,NVDA,NVIDIA,268.32,264.89,263.18,263.9,12977015,38
2022-05-19,NVDA,NVIDIA,273.38,286.98,268.19,276.22,49598877,73
2022-05-21,NVDA,NVIDIA,267.97,264.4,264.03,264.34,9352639,34
2022-05-22,NVDA,NVIDIA,264.64,264.36,256.31,261.57,29107525,84
2022-05-23,NVDA,NVIDIA,267.4,275.28,262.56,270.28,1251489,64
2022-05-25,NVDA,NVIDIA,262.42,269.61,256.83,266.89,11004332,56
2022-05-26,NVDA,NVIDIA,264.26,275.9,260.11,267.77,36440797,39
2022-05-28,NVDA,NVIDIA,258.18,263.56,259.39,262.55,10251614,53
2022-05-29,NVDA,NVIDIA,277.02,279.74,263.6,273.18,11366780,46
2022-05-30,NVDA,NVIDIA,273.77,280.43,259.42,272.31,12715101,53
2022-06-01,NVDA,NVIDIA,282.13,287.49,274.16,278.91,48036828,39
2022-06-02,NVDA,NVIDIA,274.22,281.5,266.54,276.71,47801132,73
2022-06-04,NVDA,NVIDIA,284.02,287.91,281.91,283.58,49819537,73
2022-06-05,NVDA,NVIDIA,271.42,274.64,262.2,272.74,5902081,51
2022-06-06,NVDA,NVIDIA,270.85,269.87,257.31,269.53,43956324,89
2022-06-08,NVDA,NVIDIA,261.94,272.09,257.76,264.05,25670984,81
2022-06-09,NVDA,NVIDIA,252.87,265.64,256.44,257.02,11982076,53
2022-06-11,NVDA,NVIDIA,274.82,279.38,262.37,269.58,9738482,35
2022-06-12,NVDA,NVIDIA,271.77,274.83,265.99,273.67,37821754,86
2022-06-13,NVDA,NVIDIA,276.69,278.72,264.47,272.53,19291684,54
2022-06-15,NVDA,NVIDIA,270.55,273.19,259.7,272.26,12104926,42
2022-06-16,NVDA,NVIDIA,273.72,276.3,265.65,275.5,27287095,79
2022-06-18,NVDA,NVIDIA,283.62,287.37,269.81,281.49,49226398,86
2022-06-19,NVDA,NVIDIA,272.71,277.9,260.37,269.95,36682439,66
2022-06-20,NVDA,NVIDIA,277.04,285.49,278.78,281.66,28420664,76
2022-06-22,NVDA,NVIDIA,286.53,298.45,278.86,286.08,18726911,32
2022-06-23,NVDA,NVIDIA,299.11,306.65,287.11,294.76,6262351,55
2022-06-25,NVDA,NVIDIA,302.95,302.28,291.0,302.26,26020425,63
2022-06-26,NVDA,NVIDIA,301.99,307.63,298.85,299.3,10029004,69
2022-06-27,NVDA,NVIDIA,316.13,314.76,299.62,311.76,31621946,78
2022-06-29,NVDA,NVIDIA,306.63,306.83,301.36,303.36,21646966,68
2022-06-30,NVDA,NVIDIA,297.88,298.47,280.35,295.07,16782763,87
2022-07-02,NVDA,NVIDIA,290.02,297.24,279.71,289.67,32720320,47
2022-07-03,NVDA,NVIDIA,287.94,302.88,281.73,289.05,28341575,30
2022-07-04,NVDA,NVIDIA,288.08,303.79,284.04,289.62,48296655,43
2022-07-06,NVDA,NVIDIA,287.05,302.78,286.36,289.51,6499538,46
2022-07-07,NVDA,NVIDIA,301.49,301.69,294.38,297.72,15266055,70
2022-07-09,NVDA,NVIDIA,303.13,302.08,295.59,302.06,41915179,53
2022-07-10,NVDA,NVIDIA,300.87,308.47,297.24,299.83,11275764,79
2022-07-11,NVDA,NVIDIA,295.45,297.91,284.24,293.07,44248303,81
2022-07-13,NVDA,NVIDIA,287.16,293.56,283.34,288.83,32288237,61
2022-07-14,NVDA,NVIDIA,281.53,281.0,273.38,277.7,18277262,54
2022-07-16,NVDA,NVIDIA,268.05,279.04,265.35,266.03,27513501,80
2022-07-17,NVDA,NVIDIA,272.27,283.28,270.0,273.19,26239187,70
2022-07-18,NVDA,NVIDIA,261.36,265.56,256.54,260.59,39087636,77
2022-07-20,NVDA,NVIDIA,250.93,250.53,241.74,248.37,3438320,64
2022-07-21,NVDA,NVIDIA,247.3,253.49,236.95,243.03,26526121,62
2022-07-23,NVDA,NVIDIA,237.41,243.37,228.58,240.57,45828336,82
2022-07-24,NVDA,NVIDIA,238.75,238.15,226.27,235.59,3420780,70
2022-07-25,NVDA,NVIDIA,235.55,242.03,230.56,231.76,31221382,86
2022-07-27,NVDA,NVIDIA,235.25,242.58,235.01,238.76,31720350,53
2022-07-28,NVDA,NVIDIA,246.39,244.95,244.25,244.9,23383014,34
2022-07-30,NVDA,NVIDIA,251.74,255.52,248.92,254.26,22768953,79
2022-07-31,NVDA,NVIDIA,258.27,270.72,246.43,259.28,33688667,70
2022-08-01,NVDA,NVIDIA,266.46,276.43,262.71,266.79,48351510,80
2022-08-03,NVDA,NVIDIA,255.54,271.22,260.07,260.4,19868218,48
2022-08-04,NVDA,NVIDIA,270.21,275.46,255.12,267.8,2896483,41
2022-08-06,NVDA,NVIDIA,285.29,289.31,270.98,279.7,34746918,60
2022-08-07,NVDA,NVIDIA,292.67,289.24,278.27,287.79,38897266,58
2022-08-08,NVDA,NVIDIA,291.59,296.8,278.94,289.02,30440427,36
2022-08-10,NVDA,NVIDIA,286.99,296.47,282.66,282.97,16153083,65
2022-08-11,NVDA,NVIDIA,281.53,286.43,276.04,277.33,31833767,33
2022-08-13,NVDA,NVIDIA,280.22,289.71,271.55,279.94,16319082,49
2022-08-14,NVDA,NVIDIA,290.56,291.64,281.09,290.84,43525518,65
2022-08-15,NVDA,NVIDIA,279.92,291.66,279.63,280.81,3269879,61
2022-08-17,NVDA,NVIDIA,293.62,298.24,280.4,293.29,6176757,78
2022-08-18,NVDA,NVIDIA,305.64,317.26,302.36,304.02,12899781,77
2022-08-20,NVDA,NVIDIA,309.07,311.81,300.22,303.67,33288522,63
2022-08-21,NVDA,NVIDIA,293.16,301.21,287.97,290.91,24053924,50
2022-08-22,NVDA,NVIDIA,285.32,304.18,279.33,289.93,32016266,86
2022-08-24,NVDA,NVIDIA,294.68,306.78,284.9,296.8,35607117,30
2022-08-25,NVDA,NVIDIA,287.96,298.93,278.42,285.61,45048257,66
2022-08-27,NVDA,NVIDIA,277.03,274.8,265.35,273.38,29378561,85
2022-08-28,NVDA,NVIDIA,263.67,263.63,254.72,260.25,41158301,86
2022-08-29,NVDA,NVIDIA,247.99,251.66,247.89,249.87,3071581,65
2022-08-31,NVDA,NVIDIA,246.14,254.38,243.96,244.68,45860267,42
2022-09-01,NVDA,NVIDIA,246.9,243.34,233.72,242.16,37396697,35
2022-09-03,NVDA,NVIDIA,257.25,263.8,248.28,252.25,23998570,57
2022-09-04,NVDA,NVIDIA,238.26,242.41,229.65,240.55,48313034,45
2022-09-05,NVDA,NVIDIA,238.34,248.41,231.2,242.51,25460564,50
2022-09-07,NVDA,NVIDIA,257.52,262.21,242.95,254.0,30857181,77
2022-09-08,NVDA,NVIDIA,248.55,256.38,250.09,250.3,10790418,48
2022-09-10,NVDA,NVIDIA,253.98,260.45,244.68,252.03,28661073,44
2022-09-11,NVDA,NVIDIA,264.88,268.84,250.09,259.75,6738422,86
2022-09-12,NVDA,NVIDIA,245.4,258.88,248.19,249.14,27530960,65
2022-09-14,NVDA,NVIDIA,244.61,247.43,241.11,244.28,5601667,35
2022-09-15,NVDA,NVIDIA,233.16,241.13,222.45,233.66,34217926,73
2022-09-17,NVDA,NVIDIA,229.68,229.35,221.55,225.41,42305489,74
2022-09-18,NVDA,NVIDIA,229.92,234.47,224.28,225.95,43833941,79
2022-09-19,NVDA,NVIDIA,220.53,221.22,209.82,218.52,24248421,39
2022-09-21,NVDA,NVIDIA,213.52,216.34,214.14,214.75,1358851,72
2022-09-22,NVDA,NVIDIA,210.25,220.97,209.13,211.16,2188720,82
2022-09-24,NVDA,NVIDIA,210.55,218.0,209.1,210.46,15758362,68
2022-09-25,NVDA,NVIDIA,210.99,215.47,207.2,207.52,20354041,57
2022-09-26,NVDA,NVIDIA,216.64,223.17,211.64,216.78,32511430,64
2022-09-28,NVDA,NVIDIA,221.12,223.49,211.39,222.19,22729513,82
2022-09-29,NVDA,NVIDIA,213.53,214.0,207.17,213.62,10641116,38
2022-10-01,NVDA,NVIDIA,202.11,214.38,198.23,204.41,7690106,79
2022-10-02,NVDA,NVIDIA,209.66,213.76,204.57,210.81,27223624,81
2022-10-03,NVDA,NVIDIA,215.59,219.76,204.35,211.6,5471015,71
2022-10-05,NVDA,NVIDIA,212.07,216.95,210.57,212.08,33135620,70
